title,authors,year,source,source_dataset
cloud workload categorization using various data preprocessing and clustering techniques,"Daraghmeh, Mustafa and Agarwal, Anjali and Jararweh, Yaser",2024,,ACM
crossgai: a cross-device generative ai framework for collaborative fashion design,"Deng, Hanhui and Jiang, Jianan and Yu, Zhiwang and Ouyang, Jinhui and Wu, Di",2024,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,ACM
implementation of fault-tolerance mechanism in quorum-based blockchain provisioning in cloud infrastructure using replication and monitoring protocols,"Putri, Rosyida Salicha Rusdarto and Bhawiyuga, Adhitya and Akbar, Sabriansyah Rizqika and Shaffan, Nur Hazbiy and Amron, Kasyful and Basuki, Achmad",2023,,ACM
greennfv: energy-efficient network function virtualization with service level agreement constraints,"Nine, Md S. Q. Zulkar and Kosar, Tevfik and Bulut, Muhammed Fatih and Hwang, Jinho",2023,,ACM
flexconnect: mobile computational offloading,"Droob, Alexander and Morratz, Daniel and Jakobsen, Frederik Langkilde and Carstensen, Jacob and Mathiesen, Magnus and Bohnstedt, Rune and Albano, Michele and Moreschini, Sergio and Taibi, Davide",2023,,ACM
effective working environment and factor for a software engineer in companies that are not ict based,"Oyewale, Christianah Titilope and Abolade, Akintomiwa Mayowa and Oyewumi, Olukunle",2023,,ACM
towards a methodology and framework for ai sustainability metrics,"Eilam, Tamar and Bello-Maldonado, Pedro and Bhattacharjee, Bishwaranjan and Costa, Carlos and Lee, Eun Kyung and Tantawi, Asser",2023,,ACM
performance experiences from running an e-health inference process as faas across diverse clusters,"Kousiouris, George and Pnevmatikakis, Aristodemos",2023,,ACM
performance interference of virtual machines: a survey,"Lin, Weiwei and Xiong, Chennian and Wu, Wentai and Shi, Fang and Li, Keqin and Xu, Minxian",2023,ACM Comput. Surv.,ACM
systematic literature review on parallel trajectory-based metaheuristics,"Almeida, Andr\'{e} Lu\'{\i}s Barroso and Lima, Joubert de Castro and Carvalho, Marco Antonio M.",2022,ACM Comput. Surv.,ACM
custom scheduling in kubernetes: a survey on common problems and solution approaches,"Rejiba, Zeineb and Chamanara, Javad",2022,ACM Comput. Surv.,ACM
light-bcube:a scalable and high performance network structure for modular data center,"Zeng, Zhicheng and Shen, Hong",2022,,ACM
neuroscaler: neural video enhancement at scale,"Yeo, Hyunho and Lim, Hwijoon and Kim, Jaehong and Jung, Youngmok and Ye, Juncheol and Han, Dongsu",2022,,ACM
information batteries: storing opportunity power with speculative execution,"Switzer, Jennifer and Raghavan, Barath",2022,SIGENERGY Energy Inform. Rev.,ACM
towards transparent and trustworthy cloud carbon accounting,"Eilam, Tamar",2021,,ACM
enabling sustainable clouds: the case for virtualizing the energy system,"Bashir, Noman and Guo, Tian and Hajiesmaili, Mohammad and Irwin, David and Shenoy, Prashant and Sitaraman, Ramesh and Souza, Abel and Wierman, Adam",2021,,ACM
bridging storage semantics using data labels and asynchronous i/o,"Kougkas, Anthony and Devarajan, Hariharan and Sun, Xian-He",2020,ACM Trans. Storage,ACM
the art of cpu-pinning: evaluating and improving the performance of virtualization and containerization platforms,"Ghatrehsamani, Davood and Denninnart, Chavit and Bacik, Josef and Amini Salehi, Mohsen",2020,,ACM
healthsense: software-defined mobile-based clinical trials,"Curtis, Aidan and Pai, Amruta and Cao, Jian and Moukaddam, Nidal and Sabharwal, Ashutosh",2019,,ACM
a new framework for evaluating straggler detection mechanisms in mapreduce,"Phan, Tien-Dat and Pallez, Guillaume and Ibrahim, Shadi and Raghavan, Padma",2019,ACM Trans. Model. Perform. Eval. Comput. Syst.,ACM
vcpu as a container: towards accurate cpu allocation for vms,"Liu, Li and Wang, Haoliang and Wang, An and Xiao, Mengbai and Cheng, Yue and Chen, Songqing",2019,,ACM
stochastic resource allocation,"Funaro, Liran and Ben-Yehuda, Orna Agmon and Schuster, Assaf",2019,,ACM
predicting server power consumption from standard rating results,"von Kistowski, J\'{o}akim and Grohmann, Johannes and Schmitt, Norbert and Kounev, Samuel",2019,,ACM
per-application power delivery,"Guliani, Akhil and Swift, Michael M.",2019,,ACM
cloud brokerage: a systematic survey,"Elhabbash, Abdessalam and Samreen, Faiza and Hadley, James and Elkhatib, Yehia",2019,ACM Comput. Surv.,ACM
a particle swarm optimization-based container scheduling algorithm of docker platform,"Li, Lianwan and Chen, Jianxin and Yan, Wuyang",2018,,ACM
mage: online and interference-aware scheduling for multi-scale heterogeneous systems,"Romero, Francisco and Delimitrou, Christina",2018,,ACM
jaguar: low latency mobile augmented reality with flexible tracking,"Zhang, Wenxiao and Han, Bo and Hui, Pan",2018,,ACM
value-based manufacturing optimisation in serverless clouds for industry 4.0,"Dziurzanski, Piotr and Swan, Jerry and Indrusiak, Leandro Soares",2018,,ACM
development frameworks for mobile devices: a comparative study about energy consumption,"Corbalan, Leonardo and Fernandez, Juan and Cuiti\~{n}o, Alfonso and Delia, Lisandro and C\'{a}seres, Germ\'{a}n and Thomas, Pablo and Pesado, Patricia",2018,,ACM
container cloud resource allocation based on combinatorial double auction,"Chen, Chaoquan and Zhang, Zhengzheng and Xie, Xiaolan",2018,,ACM
securing smart metering applications in untrusted clouds with the securecloud platform,"Riella, Rodrigo J. and Iantorno, Luciana M. and Junior, Laerte C. R. and Seidel, Dilmari and Fonseca, Keiko V. O. and Gomes-Jr, Luiz and Rosa, Marcelo O.",2018,,ACM
a workload-dependent performance analysis of an in-memory database in a multi-tenant configuration,"Paluch, Dominik and Kienegger, Harald and Krcmar, Helmut",2018,,ACM
multi-objective optimization of deployment topologies for distributed applications,"Willnecker, Felix and Krcmar, Helmut",2018,ACM Trans. Internet Technol.,ACM
